Group,Type,UniqueTag,AllTags,Config,Description,Describe,TestCategory
MaintenanceSolution,Sqlinstance,SystemFull,"SystemFull, OlaJobs, MaintenanceSolution",app.sqlinstance ola.JobName.SystemFull policy.ola.SystemFullenabled policy.ola.SystemFullscheduled policy.ola.SystemFullretention ,"Tests that the Ola - System Full Agent Job (using the specified name defaults to Olas default naming) enabled setting is set as specified (default true), the schedules are set as specified (default true) and enabled and that the backup retention setting for the job is set as specified (default 192 (hours))",Ola - DatabaseBackup - SYSTEM_DATABASES - FULL,DBA
MaintenanceSolution,Sqlinstance,UserFull,"UserFull, OlaJobs, MaintenanceSolution",app.sqlinstance ola.JobName.UserFull policy.ola.UserFullenabled policy.ola.UserFullscheduled policy.ola.UserFullretention ,"Tests that the Ola - User Full Agent Job (using the specified name defaults to Olas default naming) enabled setting is set as specified (default true), the schedules are set as specified (default true) and enabled and that the backup retention setting for the job is set as specified (default 192 (hours))",Ola - DatabaseBackup - USER_DATABASES - FULL,DBA
MaintenanceSolution,Sqlinstance,UserDiff,"UserDiff, OlaJobs, MaintenanceSolution",app.sqlinstance ola.JobName.UserDiff policy.ola.UserDiffenabled policy.ola.UserDiffscheduled policy.ola.UserDiffretention ,"Tests that the Ola - User Diff Agent Job (using the specified name defaults to Olas default naming) enabled setting is set as specified (default true), the schedules are set as specified (default true) and enabled and that the backup retention setting for the job is set as specified (default 192 (hours))",Ola - DatabaseBackup - USER_DATABASES - DIFF,DBA
MaintenanceSolution,Sqlinstance,UserLog,"UserLog, OlaJobs, MaintenanceSolution",app.sqlinstance ola.JobName.UserLog policy.ola.UserLogenabled policy.ola.UserLogscheduled policy.ola.UserLogretention ,"Tests that the Ola - User Log Agent Job (using the specified name defaults to Olas default naming) enabled setting is set as specified (default true), the schedules are set as specified (default true) and enabled and that the backup retention setting for the job is set as specified (default 192 (hours))",Ola - DatabaseBackup - USER_DATABASES - Log,DBA
MaintenanceSolution,Sqlinstance,CommandLog,"CommandLog, OlaJobs, MaintenanceSolution",app.sqlinstance ola.JobName.CommandLogCleanup policy.ola.CommandLogenabled policy.ola.CommandLogscheduled policy.ola.CommandLogCleanUp ,"Tests that the Ola - Command Log Cleanup Job (using the specified name defaults to Olas default naming) enabled setting is set as specified (default true), the schedules are set as specified (default true) and enabled and that the clean up setting for the job is set as specified (default 30 (days))",Ola - CommandLog Cleanup,DBA
MaintenanceSolution,Sqlinstance,SystemIntegrityCheck,"SystemIntegrityCheck, OlaJobs, MaintenanceSolution",app.sqlinstance ola.JobName.SystemIntegrity policy.ola.SystemIntegrityCheckenabled policy.ola.SystemIntegrityCheckscheduled ,"Tests that the Ola - System Integrity Check Agent Job (using the specified name defaults to Olas default naming) enabled setting is set as specified (default true), the schedules are set as specified (default true) and enabled",Ola - DatabaseIntegrityCheck - SYSTEM_DATABASES,DBA
MaintenanceSolution,Sqlinstance,UserIntegrityCheck,"UserIntegrityCheck, OlaJobs, MaintenanceSolution",app.sqlinstance ola.JobName.UserIntegrity policy.ola.UserIntegrityCheckenabled policy.ola.UserIntegrityCheckscheduled ,"Tests that the Ola - User Integrity Check Agent Job (using the specified name defaults to Olas default naming) enabled setting is set as specified (default true), the schedules are set as specified (default true) and enabled",Ola - DatabaseIntegrityCheck - USER_DATABASES,DBA
MaintenanceSolution,Sqlinstance,UserIndexOptimize,"UserIndexOptimize, OlaJobs, MaintenanceSolution",app.sqlinstance ola.JobName.UserIndex policy.ola.UserIndexOptimizeenabled policy.ola.UserIndexOptimizescheduled ,"Tests that the Ola - User Index Optimise Agent Job (using the specified name defaults to Olas default naming) enabled setting is set as specified (default true), the schedules are set as specified (default true) and enabled",Ola - IndexOptimize - USER_DATABASES,DBA
MaintenanceSolution,Sqlinstance,OutputFileCleanup,"OutputFileCleanup, OlaJobs, MaintenanceSolution",app.sqlinstance ola.JobName.OutputFileCleanup policy.ola.OutputFileCleanupenabled policy.ola.OutputFileCleanupscheduled policy.ola.OutputFileCleanUp ,"Tests that the Ola - Output File Cleanup Job (using the specified name defaults to Olas default naming) enabled setting is set as specified (default true), the schedules are set as specified (default true) and enabled and that the clean up setting for the job is set as specified (default 30 (days))",Ola - Output File Cleanup,DBA
MaintenanceSolution,Sqlinstance,DeleteBackupHistory,"DeleteBackupHistory, OlaJobs, MaintenanceSolution",app.sqlinstance ola.JobName.DeleteBackupHistory policy.ola.DeleteBackupHistoryenabled policy.ola.DeleteBackupHistoryscheduled policy.ola.DeleteBackupHistoryCleanUp ,"Tests that the Ola - Delete Backup History Job (using the specified name defaults to Olas default naming) enabled setting is set as specified (default true), the schedules are set as specified (default true) and enabled and that the clean up setting for the job is set as specified (default 30 (days))",Ola - sp_delete_backuphistory,DBA
MaintenanceSolution,Sqlinstance,PurgeJobHistory,"PurgeJobHistory, OlaJobs, MaintenanceSolution",app.sqlinstance ola.JobName.PurgeBackupHistory policy.ola.PurgeJobHistoryenabled policy.ola.PurgeJobHistoryscheduled policy.ola.PurgeJobHistoryCleanUp ,"Tests that the Ola - Purge Job History Job (using the specified name defaults to Olas default naming) enabled setting is set as specified (default true), the schedules are set as specified (default true) and enabled and that the clean up setting for the job is set as specified (default 30 (days))",Ola - sp_purge_jobhistory,DBA
Server,ComputerName,PowerPlan,"PowerPlan, Medium, Server",app.computername ,Tests that the Server Power Plan is set to High Performance,Server Power Plan Configuration,Advanced
Server,ComputerName,SPN,"SPN, Server",app.computername ,Tests that all default SQL SPNs have been correctly registered,SPNs,Advanced
Server,ComputerName,DiskCapacity,"DiskCapacity, Storage, DISA, Varied, Server",app.computername policy.diskspace.percentfree ,Tests that each drive has at least the specified percentage (default 20) free space,Disk Space,Basic
Server,ComputerName,PingComputer,"PingComputer, Varied, Server",app.computername policy.connection.pingmaxms policy.connection.pingcount skip.connection.ping ,Tests that a host has been pinged a specified number of times (default 3) and that the average response time is less than specified (default 10ms),Ping Computer,Basic
Server,ComputerName,CPUPrioritisation,"CPUPrioritisation, Medium, Server",app.computername policy.server.cpuprioritisation ,Tests that the CPU is prioritised for background activity over user UI experience. unless specified to ignore (default true),CPUPrioritisation,Advanced
Server,ComputerName,DiskAllocationUnit,"DiskAllocationUnit, Medium, Server",app.computername policy.server.excludeDiskAllocationUnit ,Tests that the disks available to the server are formatted for optimum performance (64KB allocation unit) unless a specified disk name (default none),Disk Allocation Unit,Basic
Server,ComputerName,NonStandardPort,"NonStandardPort, Medium, CIS, Server",app.computername skip.security.nonstandardport ,Tests to see if the SQL Server Instances are NOT running on the default port of 1433.,Non Standard Port,Basic
